2024-01-24 14:27:49,London,22\u00baC
2024-01-24 14:27:51,London,23\u00baC
2024-01-24 14:27:52,New York,23\u00baC
2024-01-24 14:27:53,London,21\u00baC
2024-01-24 14:27:54,Pittsburgh,24\u00baC
2024-01-24 14:27:55,Pittsburgh,30\u00baC
2024-01-24 14:27:56,London,27\u00baC
2024-01-24 14:27:57,London,32\u00baC
2024-01-24 14:27:58,London,31\u00baC
2024-01-24 14:27:59,London,25\u00baC
2024-01-24 14:38:17,New York,21\u00baC
2024-01-24 14:38:18,Bangalore,20\u00baC
2024-01-24 14:38:19,London,22\u00baC
2024-01-24 14:38:20,Bangalore,30\u00baC
2024-01-24 14:38:21,Bangalore,26\u00baC
2024-01-24 14:38:22,Pittsburgh,20\u00baC
2024-01-24 14:38:23,New York,19\u00baC
2024-01-24 14:38:24,London,26\u00baC
2024-01-24 14:38:25,London,25\u00baC
2024-01-24 14:38:26,Bangalore,26\u00baC
2024-01-24 16:26:20,Seattle,31\u00baC
2024-01-24 16:26:21,Beijing,18\u00baC
2024-01-24 16:26:22,Montreal,26\u00baC
2024-01-24 16:26:23,Montreal,20\u00baC
2024-01-24 16:26:24,Tokyo,24\u00baC
2024-01-24 16:26:25,Montreal,24\u00baC
2024-01-24 16:26:26,Beijing,21\u00baC
2024-01-24 16:26:27,Seattle,32\u00baC
2024-01-24 16:26:28,Montreal,24\u00baC
2024-01-24 16:26:29,Pittsburgh,27\u00baC
2024-01-24 18:02:31,vadodara,27\u00baC
2024-01-24 18:02:32,kota,24\u00baC
2024-01-24 18:02:33,kota,28\u00baC
2024-01-24 18:02:34,dubai,24\u00baC
2024-01-24 18:02:35,vadodara,20\u00baC
2024-01-24 18:02:36,kota,28\u00baC
2024-01-24 18:02:37,vadodara,23\u00baC
2024-01-24 18:02:38,kota,23\u00baC
2024-01-24 18:02:39,bharuch,23\u00baC
2024-01-24 18:02:40,vadodara,28\u00baC
2024-01-24 19:49:17,Los Angeles,27\u00baC
2024-01-24 19:49:18,Los Angeles,29\u00baC
2024-01-24 19:49:19,Los Angeles,23\u00baC
2024-01-24 19:49:20,Los Angeles,32\u00baC
2024-01-24 19:49:21,New York,24\u00baC
2024-01-24 19:49:22,New York,22\u00baC
2024-01-24 19:49:23,Mumbai,18\u00baC
2024-01-24 19:49:24,New York,19\u00baC
2024-01-24 19:49:25,New York,20\u00baC
2024-01-24 19:49:26,Los Angeles,30\u00baC
2024-01-24 21:58:35,Nice,21\u00baC
2024-01-24 21:58:36,Cincinnati,22\u00baC
2024-01-24 21:58:37,Geneva,24\u00baC
2024-01-24 21:58:38,Nice,28\u00baC
2024-01-24 21:58:39,Winden,30\u00baC
2024-01-24 21:58:40,Chambery,20\u00baC
2024-01-24 21:58:41,Winden,31\u00baC
2024-01-24 21:58:42,Cincinnati,19\u00baC
2024-01-24 21:58:43,Chambery,21\u00baC
2024-01-24 21:58:44,Geneva,32\u00baC
2024-01-24 22:33:48,Pittsburgh,28\u00baC
2024-01-24 22:33:49,Pittsburgh,28\u00baC
2024-01-24 22:33:50,Pittsburgh,20\u00baC
2024-01-24 22:33:51,Pittsburgh,26\u00baC
2024-01-24 22:33:52,Pittsburgh,21\u00baC
2024-01-24 22:33:53,Pittsburgh,25\u00baC
2024-01-24 22:33:54,Pittsburgh,18\u00baC
2024-01-24 22:33:55,Pittsburgh,31\u00baC
2024-01-24 22:33:56,Pittsburgh,26\u00baC
2024-01-24 22:33:57,Pittsburgh,29\u00baC
2024-01-24 22:34:28,Santiago,19\u00baC
2024-01-24 22:34:29,Santiago,19\u00baC
2024-01-24 22:34:30,Pittsburgh,28\u00baC
2024-01-24 22:34:31,New York,22\u00baC
2024-01-24 22:34:32,Pittsburgh,20\u00baC
2024-01-24 22:34:33,New York,24\u00baC
2024-01-24 22:34:34,New York,19\u00baC
2024-01-24 22:34:35,New York,21\u00baC
2024-01-24 22:34:36,Pittsburgh,20\u00baC
2024-01-24 22:34:37,New York,24\u00baC
2024-01-24 22:35:13,Santiago,30\u00baC
2024-01-24 22:35:14,New York,19\u00baC
2024-01-24 22:35:15,Pittsburgh,24\u00baC
2024-01-24 22:35:16,Pittsburgh,20\u00baC
2024-01-24 22:35:17,Santiago,26\u00baC
2024-01-24 22:35:18,New York,26\u00baC
2024-01-24 22:35:19,Santiago,24\u00baC
2024-01-24 22:35:20,New York,23\u00baC
2024-01-24 22:35:21,Santiago,24\u00baC
2024-01-24 22:35:22,Santiago,24\u00baC
2024-01-24 22:41:44,Santiago,31\u00baC
2024-01-24 22:41:45,Pittsburgh,32\u00baC
2024-01-24 22:41:46,Pittsburgh,25\u00baC
2024-01-24 22:41:47,New York,23\u00baC
2024-01-24 22:41:48,Santiago,27\u00baC
2024-01-24 22:41:49,New York,30\u00baC
2024-01-24 22:41:50,New York,23\u00baC
2024-01-24 22:41:51,Pittsburgh,23\u00baC
2024-01-24 22:41:52,Santiago,32\u00baC
2024-01-24 22:41:53,Santiago,31\u00baC
2024-01-24 22:51:11,Chicago,23\u00baC
2024-01-24 22:51:12,Los Angeles,28\u00baC
2024-01-24 22:51:13,New York,29\u00baC
2024-01-24 22:51:14,New York,31\u00baC
2024-01-24 22:51:15,Los Angeles,23\u00baC
2024-01-24 22:51:16,Chicago,19\u00baC
2024-01-24 22:51:17,New York,27\u00baC
2024-01-24 22:51:18,Los Angeles,19\u00baC
2024-01-24 22:51:19,New York,27\u00baC
2024-01-24 22:51:20,Chicago,24\u00baC
2024-01-25 07:55:43,New York,21\u00baC
2024-01-25 07:55:44,Santiago,31\u00baC
2024-01-25 07:55:45,Pittsburgh,26\u00baC
2024-01-25 07:55:46,New York,29\u00baC
2024-01-25 07:55:47,Santiago,31\u00baC
2024-01-25 07:55:48,New York,30\u00baC
2024-01-25 07:55:49,Santiago,26\u00baC
2024-01-25 07:55:50,Santiago,18\u00baC
2024-01-25 07:55:51,New York,32\u00baC
2024-01-25 07:55:52,New York,19\u00baC
2024-01-25 11:12:33,Paris,30\u00baC
2024-01-25 11:12:34,Tokyo,26\u00baC
2024-01-25 11:12:35,Paris,28\u00baC
2024-01-25 11:12:36,Tokyo,31\u00baC
2024-01-25 11:12:37,Paris,27\u00baC
2024-01-25 11:12:38,Berlin,26\u00baC
2024-01-25 11:12:39,London,30\u00baC
2024-01-25 11:12:40,London,29\u00baC
2024-01-25 11:12:41,New York,31\u00baC
2024-01-25 11:12:42,Tokyo,27\u00baC
2024-01-25 11:31:42,Cupertino,28\u00baC
2024-01-25 11:31:43,Mountain View,27\u00baC
2024-01-25 11:31:44,Mountain View,20\u00baC
2024-01-25 11:31:45,San Jose,30\u00baC
2024-01-25 11:31:46,Cupertino,24\u00baC
2024-01-25 11:31:47,Cupertino,27\u00baC
2024-01-25 11:31:48,Cupertino,28\u00baC
2024-01-25 11:31:49,Milpitas,31\u00baC
2024-01-25 11:31:50,Mountain View,24\u00baC
2024-01-25 11:31:51,Cupertino,25\u00baC
2024-01-25 12:23:34,Seattle,30\u00baC
2024-01-25 12:23:35,Madison,23\u00baC
2024-01-25 12:23:36,Seattle,27\u00baC
2024-01-25 12:23:37,San Diego,29\u00baC
2024-01-25 12:23:38,Van Alstyne,24\u00baC
2024-01-25 12:23:39,Copenhagen,27\u00baC
2024-01-25 12:23:40,Seattle,26\u00baC
2024-01-25 12:23:41,Madison,23\u00baC
2024-01-25 12:23:42,Copenhagen,31\u00baC
2024-01-25 12:23:43,Copenhagen,26\u00baC
2024-01-25 12:30:13,Beijing,32\u00baC
2024-01-25 12:30:14,Seattle,27\u00baC
2024-01-25 12:30:15,Tokyo,25\u00baC
2024-01-25 12:30:16,Beijing,21\u00baC
2024-01-25 12:30:17,Montreal,30\u00baC
2024-01-25 12:30:18,Pittsburgh,29\u00baC
2024-01-25 12:30:19,Seattle,27\u00baC
2024-01-25 12:30:20,Seattle,20\u00baC
2024-01-25 12:30:21,Montreal,19\u00baC
2024-01-25 12:30:22,Tokyo,18\u00baC
2024-01-25 12:47:25,Tokyo,30\u00baC
2024-01-25 12:47:26,Montreal,18\u00baC
2024-01-25 12:47:27,Beijing,28\u00baC
